sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
3,2023-09-02 00:45:00,non_recyclable,0.92,0.67,0.22,16.09
2,2023-09-02 01:00:00,recyclable,0.67,0.63,0.21,36.12
2,2023-09-02 01:15:00,non_recyclable,1.17,0.46,0.64,58.83
4,2023-09-02 01:30:00,recyclable,1.25,0.91,0.11,48.56
1,2023-09-02 01:45:00,non_recyclable,0.82,0.0,0.65,12.67
1,2023-09-02 02:00:00,non_recyclable,0.67,0.16,0.86,75.76
1,2023-09-02 02:15:00,non_recyclable,1.36,0.08,0.47,32.67
3,2023-09-02 02:30:00,non_recyclable,0.72,0.53,0.97,90.63
3,2023-09-02 02:45:00,recyclable,1.26,0.4,0.09,23.72
4,2023-09-02 03:00:00,non_recyclable,0.67,0.31,0.93,66.26
2,2023-09-02 03:15:00,recyclable,1.1,0.93,0.77,54.37
2,2023-09-02 03:30:00,non_recyclable,0.84,0.14,0.21,99.44
2,2023-09-02 03:45:00,recyclable,1.14,0.04,0.48,19.52
3,2023-09-02 04:00:00,non_recyclable,1.31,0.79,0.3,57.71
2,2023-09-02 04:15:00,organic,0.96,0.75,0.13,99.1
1,2023-09-02 04:30:00,organic,0.93,0.32,0.12,34.84
2,2023-09-02 04:45:00,non_recyclable,0.77,0.74,0.63,27.39
2,2023-09-02 05:00:00,recyclable,0.69,0.87,0.22,98.18
4,2023-09-02 05:15:00,recyclable,1.29,0.31,0.48,25.84
2,2023-09-02 05:30:00,recyclable,1.26,0.86,0.26,74.64
3,2023-09-02 05:45:00,organic,0.86,0.46,0.54,3.1
4,2023-09-02 06:00:00,organic,1.02,0.3,0.07,69.22
3,2023-09-02 06:15:00,non_recyclable,1.06,0.58,0.51,52.25
2,2023-09-02 06:30:00,recyclable,1.07,0.78,0.77,18.95
4,2023-09-02 06:45:00,organic,1.12,0.77,0.99,69.55
2,2023-09-02 07:00:00,non_recyclable,0.79,0.77,0.68,76.54
3,2023-09-02 07:15:00,organic,1.26,0.07,0.32,20.11
1,2023-09-02 07:30:00,recyclable,0.82,0.86,0.01,69.68
1,2023-09-02 07:45:00,recyclable,0.91,0.32,0.74,27.41
4,2023-09-02 08:00:00,organic,1.0,0.85,0.29,91.69
1,2023-09-02 08:15:00,non_recyclable,0.66,0.66,0.81,0.26
1,2023-09-02 08:30:00,organic,0.93,0.72,0.71,21.55
1,2023-09-02 08:45:00,non_recyclable,0.69,0.84,0.04,68.59
2,2023-09-02 09:00:00,non_recyclable,0.96,0.15,0.81,82.34
4,2023-09-02 09:15:00,non_recyclable,1.0,0.85,0.51,79.63
3,2023-09-02 09:30:00,non_recyclable,0.96,0.04,0.09,54.01
2,2023-09-02 09:45:00,recyclable,0.64,0.5,0.13,94.27
2,2023-09-02 10:00:00,non_recyclable,1.04,0.64,0.86,72.92
1,2023-09-02 10:15:00,organic,0.63,0.99,0.12,87.68
2,2023-09-02 10:30:00,recyclable,0.93,0.71,0.81,53.21
2,2023-09-02 10:45:00,non_recyclable,1.22,0.87,0.8,12.59
2,2023-09-02 11:00:00,non_recyclable,0.83,0.79,0.88,6.08
3,2023-09-02 11:15:00,organic,1.32,0.23,0.5,64.22
4,2023-09-02 11:30:00,recyclable,0.8,0.81,0.65,68.83
4,2023-09-02 11:45:00,non_recyclable,0.81,0.5,0.9,90.95
1,2023-09-02 12:00:00,recyclable,1.25,0.19,0.15,65.7
3,2023-09-02 12:15:00,organic,0.61,0.94,0.47,62.11
1,2023-09-02 12:30:00,organic,1.32,0.38,0.6,83.71
4,2023-09-02 12:45:00,non_recyclable,1.32,0.05,0.75,69.34
1,2023-09-02 13:00:00,non_recyclable,0.87,0.91,0.04,79.89
2,2023-09-02 13:15:00,organic,0.81,0.16,0.68,17.58
1,2023-09-02 13:30:00,non_recyclable,1.05,0.67,0.38,74.56
3,2023-09-02 13:45:00,non_recyclable,0.7,0.64,0.11,3.12
4,2023-09-02 14:00:00,non_recyclable,1.26,0.67,0.67,87.28
3,2023-09-02 14:15:00,organic,0.99,0.21,0.17,9.59
2,2023-09-02 14:30:00,organic,1.2,0.15,0.34,15.63
4,2023-09-02 14:45:00,non_recyclable,1.14,0.92,0.75,60.85
1,2023-09-02 15:00:00,recyclable,0.71,0.88,0.36,21.08
4,2023-09-02 15:15:00,recyclable,0.79,0.62,0.35,55.15
4,2023-09-02 15:30:00,recyclable,0.76,0.34,0.14,14.13
3,2023-09-02 15:45:00,recyclable,1.01,0.09,0.87,53.04
2,2023-09-02 16:00:00,non_recyclable,0.74,0.34,0.58,68.58
4,2023-09-02 16:15:00,non_recyclable,1.22,0.6,0.6,37.71
1,2023-09-02 16:30:00,non_recyclable,0.74,0.39,0.94,66.19
3,2023-09-02 16:45:00,recyclable,1.13,0.42,0.93,52.78
4,2023-09-02 17:00:00,organic,0.94,0.95,0.98,10.27
1,2023-09-02 17:15:00,non_recyclable,1.1,0.83,0.83,42.51
1,2023-09-02 17:30:00,recyclable,0.76,0.52,0.78,38.95
3,2023-09-02 17:45:00,organic,1.0,0.9,0.62,0.75
3,2023-09-02 18:00:00,recyclable,0.73,0.78,0.65,60.56
4,2023-09-02 18:15:00,organic,0.68,0.66,0.71,27.96
2,2023-09-02 18:30:00,recyclable,0.91,0.81,0.67,13.82
2,2023-09-02 18:45:00,organic,0.78,0.86,0.46,89.26
1,2023-09-02 19:00:00,non_recyclable,0.75,0.18,0.58,56.75
2,2023-09-02 19:15:00,non_recyclable,1.4,0.52,0.83,25.3
1,2023-09-02 19:30:00,non_recyclable,0.94,0.53,0.64,44.02
2,2023-09-02 19:45:00,recyclable,1.2,0.75,0.34,83.4
1,2023-09-02 20:00:00,non_recyclable,0.82,0.6,0.5,55.03
2,2023-09-02 20:15:00,non_recyclable,0.64,0.78,0.02,34.51
1,2023-09-02 20:30:00,non_recyclable,1.27,0.59,0.86,5.81
1,2023-09-02 20:45:00,recyclable,1.34,0.67,0.92,34.99
4,2023-09-02 21:00:00,non_recyclable,0.83,0.24,0.83,49.11
3,2023-09-02 21:15:00,non_recyclable,0.62,0.34,0.37,21.1
2,2023-09-02 21:30:00,non_recyclable,1.06,0.2,0.57,42.6
2,2023-09-02 21:45:00,organic,0.69,0.74,0.11,64.29
3,2023-09-02 22:00:00,non_recyclable,0.74,0.86,0.61,46.57
1,2023-09-02 22:15:00,non_recyclable,0.86,0.4,0.77,19.59
4,2023-09-02 22:30:00,recyclable,0.9,0.47,0.29,90.95
1,2023-09-02 22:45:00,recyclable,0.82,0.3,0.25,52.13
2,2023-09-02 23:00:00,recyclable,0.68,0.52,0.32,43.75
1,2023-09-02 23:15:00,non_recyclable,1.35,0.34,0.1,90.32
1,2023-09-02 23:30:00,organic,1.22,0.74,0.34,14.24
1,2023-09-02 23:45:00,organic,1.35,0.15,0.34,24.01
4,2023-09-03 00:00:00,recyclable,0.84,0.75,0.59,28.78
1,2023-09-03 00:15:00,recyclable,1.11,0.04,0.33,3.27
2,2023-09-03 00:30:00,organic,1.19,0.33,0.17,20.36
4,2023-09-03 00:45:00,non_recyclable,0.62,0.92,0.08,82.56
3,2023-09-03 01:00:00,non_recyclable,1.27,0.97,0.98,90.4
1,2023-09-03 01:15:00,non_recyclable,0.88,0.59,0.05,46.35
1,2023-09-03 01:30:00,recyclable,1.13,0.55,0.06,80.21
4,2023-09-03 01:45:00,organic,0.69,0.89,0.73,65.07
2,2023-09-03 02:00:00,organic,0.82,0.11,0.59,5.65
1,2023-09-03 02:15:00,recyclable,1.13,0.26,0.11,29.14
1,2023-09-03 02:30:00,recyclable,0.97,0.03,0.57,98.84
3,2023-09-03 02:45:00,non_recyclable,0.77,0.75,0.92,30.88
2,2023-09-03 03:00:00,organic,1.32,0.74,0.83,0.27
4,2023-09-03 03:15:00,recyclable,0.9,0.77,0.14,40.19
4,2023-09-03 03:30:00,non_recyclable,0.71,0.69,0.19,57.78
2,2023-09-03 03:45:00,organic,0.91,0.09,0.53,15.08
3,2023-09-03 04:00:00,organic,1.36,0.13,0.43,89.8
2,2023-09-03 04:15:00,organic,0.91,0.6,0.76,68.56
2,2023-09-03 04:30:00,organic,0.98,0.37,0.69,7.49
3,2023-09-03 04:45:00,non_recyclable,0.79,0.38,0.87,92.34
4,2023-09-03 05:00:00,recyclable,1.28,0.03,0.02,86.66
4,2023-09-03 05:15:00,non_recyclable,1.11,0.4,0.87,29.83
4,2023-09-03 05:30:00,non_recyclable,0.79,0.18,0.8,4.37
1,2023-09-03 05:45:00,organic,0.94,0.9,0.45,44.4
1,2023-09-03 06:00:00,organic,0.92,0.58,0.91,10.25
3,2023-09-03 06:15:00,non_recyclable,1.34,0.57,0.7,71.01
2,2023-09-03 06:30:00,non_recyclable,0.73,0.61,0.7,0.53
1,2023-09-03 06:45:00,recyclable,1.19,0.57,0.86,83.41
1,2023-09-03 07:00:00,recyclable,0.77,0.78,0.85,88.76
3,2023-09-03 07:15:00,non_recyclable,1.37,0.24,0.66,53.17
2,2023-09-03 07:30:00,recyclable,0.87,0.57,0.64,82.17
1,2023-09-03 07:45:00,recyclable,0.75,0.92,0.15,80.09
1,2023-09-03 08:00:00,non_recyclable,1.26,0.51,0.24,23.28
1,2023-09-03 08:15:00,non_recyclable,0.89,0.06,0.66,79.75
2,2023-09-03 08:30:00,recyclable,1.15,0.36,0.69,81.66
4,2023-09-03 08:45:00,non_recyclable,1.2,0.28,0.14,42.5
3,2023-09-03 09:00:00,organic,1.14,0.9,0.41,63.85
2,2023-09-03 09:15:00,non_recyclable,0.83,0.98,1.0,67.41
3,2023-09-03 09:30:00,organic,0.66,0.94,0.77,71.38
3,2023-09-03 09:45:00,organic,1.0,0.61,0.41,26.5
2,2023-09-03 10:00:00,organic,1.27,0.98,0.69,65.14
1,2023-09-03 10:15:00,organic,0.74,0.08,0.42,33.29
1,2023-09-03 10:30:00,non_recyclable,1.34,0.93,0.66,4.01
3,2023-09-03 10:45:00,recyclable,1.31,0.28,0.09,6.47
4,2023-09-03 11:00:00,recyclable,0.98,0.28,0.98,33.39
2,2023-09-03 11:15:00,recyclable,1.36,0.52,0.46,33.15
4,2023-09-03 11:30:00,organic,1.04,0.04,0.3,31.35
4,2023-09-03 11:45:00,recyclable,0.67,0.88,0.09,48.48
2,2023-09-03 12:00:00,organic,0.82,0.42,0.21,29.13
1,2023-09-03 12:15:00,non_recyclable,0.65,0.78,0.95,25.51
2,2023-09-03 12:30:00,organic,1.19,0.89,0.46,86.81
4,2023-09-03 12:45:00,organic,1.34,0.22,0.67,72.52
1,2023-09-03 13:00:00,non_recyclable,0.98,0.19,0.43,79.87
1,2023-09-03 13:15:00,recyclable,1.1,0.03,0.88,4.24
2,2023-09-03 13:30:00,recyclable,0.81,0.88,0.26,12.63
4,2023-09-03 13:45:00,recyclable,1.02,0.88,0.05,94.52
3,2023-09-03 14:00:00,non_recyclable,1.23,0.6,0.76,13.98
3,2023-09-03 14:15:00,recyclable,1.07,0.71,0.11,55.78
3,2023-09-03 14:30:00,non_recyclable,0.95,0.38,0.04,62.52
2,2023-09-03 14:45:00,recyclable,0.99,0.2,0.48,85.8
2,2023-09-03 15:00:00,non_recyclable,1.14,0.5,0.79,85.89
3,2023-09-03 15:15:00,organic,0.69,0.9,0.64,27.58
2,2023-09-03 15:30:00,organic,0.69,0.54,0.05,21.48
2,2023-09-03 15:45:00,non_recyclable,0.91,0.58,0.2,21.13
4,2023-09-03 16:00:00,non_recyclable,0.91,0.81,0.03,0.53
3,2023-09-03 16:15:00,recyclable,1.35,0.03,0.9,76.8
1,2023-09-03 16:30:00,organic,0.82,0.94,0.95,78.72
3,2023-09-03 16:45:00,organic,1.22,0.42,0.08,82.01
1,2023-09-03 17:00:00,recyclable,0.72,0.95,0.12,14.17
1,2023-09-03 17:15:00,organic,0.74,0.9,0.25,74.42
2,2023-09-03 17:30:00,organic,0.85,0.53,0.43,56.13
4,2023-09-03 17:45:00,organic,1.06,0.62,0.71,79.61
4,2023-09-03 18:00:00,non_recyclable,0.88,0.48,0.73,2.02
2,2023-09-03 18:15:00,recyclable,1.32,0.51,0.26,87.05
1,2023-09-03 18:30:00,recyclable,0.75,0.88,0.77,47.36
1,2023-09-03 18:45:00,organic,1.33,0.81,0.1,63.46
4,2023-09-03 19:00:00,recyclable,1.32,0.11,0.39,75.86
3,2023-09-03 19:15:00,recyclable,0.71,0.48,0.56,37.14
2,2023-09-03 19:30:00,organic,0.84,0.46,0.78,5.89
2,2023-09-03 19:45:00,organic,1.05,0.39,0.9,34.61
3,2023-09-03 20:00:00,non_recyclable,1.07,0.74,0.31,15.29
3,2023-09-03 20:15:00,organic,0.76,0.58,0.41,20.96
4,2023-09-03 20:30:00,recyclable,1.1,0.99,0.63,68.93
1,2023-09-03 20:45:00,organic,0.66,0.32,0.39,10.71
1,2023-09-03 21:00:00,organic,1.08,0.91,0.47,46.11
4,2023-09-03 21:15:00,recyclable,0.7,0.1,0.8,85.0
3,2023-09-03 21:30:00,organic,0.68,0.69,0.09,74.69
3,2023-09-03 21:45:00,non_recyclable,0.7,0.49,0.58,39.97
2,2023-09-03 22:00:00,non_recyclable,0.95,0.71,0.68,12.13
1,2023-09-03 22:15:00,organic,1.31,0.18,0.8,45.07
2,2023-09-03 22:30:00,non_recyclable,0.98,0.43,0.6,33.55
4,2023-09-03 22:45:00,organic,0.66,0.46,0.14,67.93
4,2023-09-03 23:00:00,recyclable,1.4,0.65,0.68,73.03
4,2023-09-03 23:15:00,organic,1.12,0.15,0.06,11.05
2,2023-09-03 23:30:00,organic,0.85,0.93,0.02,50.52
3,2023-09-03 23:45:00,recyclable,0.99,0.56,0.25,33.63
3,2023-09-04 00:00:00,recyclable,0.96,0.11,0.52,92.25
2,2023-09-04 00:15:00,non_recyclable,0.63,0.48,0.55,22.4
3,2023-09-04 00:30:00,recyclable,1.23,0.08,0.73,59.31
1,2023-09-04 00:45:00,organic,0.78,0.47,0.76,73.13
1,2023-09-04 01:00:00,non_recyclable,0.9,0.83,0.85,64.37
4,2023-09-04 01:15:00,non_recyclable,1.1,0.3,0.16,43.79
3,2023-09-04 01:30:00,recyclable,1.19,0.98,0.55,90.39
3,2023-09-04 01:45:00,organic,1.11,0.57,0.52,41.74
1,2023-09-04 02:00:00,organic,0.79,0.09,0.13,25.75
4,2023-09-04 02:15:00,non_recyclable,0.68,0.64,0.99,18.76
4,2023-09-04 02:30:00,non_recyclable,0.82,0.55,0.84,15.34
2,2023-09-04 02:45:00,organic,1.18,0.23,0.99,33.46
1,2023-09-04 03:00:00,recyclable,1.28,0.24,0.72,54.63
4,2023-09-04 03:15:00,recyclable,0.77,0.1,0.35,55.12
2,2023-09-04 03:30:00,organic,1.36,0.46,0.47,11.54
1,2023-09-04 03:45:00,non_recyclable,1.13,0.37,0.95,1.67
4,2023-09-04 04:00:00,recyclable,0.99,0.29,0.11,59.31
4,2023-09-04 04:15:00,organic,0.84,0.43,0.72,67.2
1,2023-09-04 04:30:00,non_recyclable,1.29,0.8,0.96,37.75
2,2023-09-04 04:45:00,organic,1.06,0.28,0.39,54.96
4,2023-09-04 05:00:00,non_recyclable,0.82,0.58,0.34,25.77
1,2023-09-04 05:15:00,recyclable,0.94,0.73,0.43,8.97
3,2023-09-04 05:30:00,organic,0.73,0.01,0.36,24.35
3,2023-09-04 05:45:00,non_recyclable,1.15,0.87,0.63,38.13
3,2023-09-04 06:00:00,non_recyclable,1.18,0.21,0.51,46.42
3,2023-09-04 06:15:00,recyclable,0.84,0.17,0.71,89.75
4,2023-09-04 06:30:00,non_recyclable,1.11,0.18,0.7,90.7
4,2023-09-04 06:45:00,non_recyclable,1.09,0.91,0.74,83.41
3,2023-09-04 07:00:00,organic,1.37,0.92,0.8,45.01
4,2023-09-04 07:15:00,recyclable,1.01,0.35,0.0,12.2
3,2023-09-04 07:30:00,organic,0.93,0.13,0.57,71.57
2,2023-09-04 07:45:00,non_recyclable,0.76,0.0,0.62,96.23
3,2023-09-04 08:00:00,recyclable,1.1,0.12,0.06,51.26
2,2023-09-04 08:15:00,organic,0.63,0.92,0.23,29.27
2,2023-09-04 08:30:00,recyclable,0.96,0.75,0.89,61.78
4,2023-09-04 08:45:00,organic,0.6,0.06,0.12,28.44
1,2023-09-04 09:00:00,recyclable,1.05,0.05,0.27,57.42
4,2023-09-04 09:15:00,organic,0.73,0.48,0.07,89.72
3,2023-09-04 09:30:00,organic,1.16,0.6,0.91,84.19
3,2023-09-04 09:45:00,recyclable,1.4,0.45,0.94,70.44
1,2023-09-04 10:00:00,non_recyclable,0.72,0.28,0.54,10.33
2,2023-09-04 10:15:00,non_recyclable,0.8,0.02,0.02,91.59
1,2023-09-04 10:30:00,recyclable,1.38,0.6,0.38,12.25
4,2023-09-04 10:45:00,organic,1.36,0.15,0.82,67.25
2,2023-09-04 11:00:00,non_recyclable,0.69,0.24,0.93,42.51
2,2023-09-04 11:15:00,organic,1.3,0.13,0.67,79.85
2,2023-09-04 11:30:00,non_recyclable,0.61,0.48,0.51,23.26
4,2023-09-04 11:45:00,non_recyclable,1.35,0.07,0.09,94.81
2,2023-09-04 12:00:00,non_recyclable,0.91,0.27,0.25,49.79
2,2023-09-04 12:15:00,recyclable,0.85,0.22,0.1,67.32
3,2023-09-04 12:30:00,organic,1.08,0.6,0.94,35.67
2,2023-09-04 12:45:00,organic,1.11,0.8,0.35,8.18
4,2023-09-04 13:00:00,recyclable,0.67,0.45,0.76,94.13
2,2023-09-04 13:15:00,organic,1.1,0.3,0.24,53.64
1,2023-09-04 13:30:00,organic,0.88,0.54,0.4,97.73
2,2023-09-04 13:45:00,organic,0.72,0.94,0.03,51.73
2,2023-09-04 14:00:00,organic,1.13,0.75,0.68,37.81
3,2023-09-04 14:15:00,organic,0.88,0.11,0.45,31.62
1,2023-09-04 14:30:00,non_recyclable,1.37,0.43,0.18,73.51
2,2023-09-04 14:45:00,non_recyclable,1.29,0.93,0.09,15.24
1,2023-09-04 15:00:00,organic,0.97,0.75,0.32,91.13
2,2023-09-04 15:15:00,organic,0.78,0.06,0.28,54.87
4,2023-09-04 15:30:00,recyclable,1.0,0.74,0.63,68.36
1,2023-09-04 15:45:00,organic,1.35,0.01,0.17,3.86
2,2023-09-04 16:00:00,non_recyclable,1.08,0.06,0.42,76.27
2,2023-09-04 16:15:00,organic,0.82,0.08,0.61,88.61
2,2023-09-04 16:30:00,organic,1.23,0.47,0.61,28.57
4,2023-09-04 16:45:00,recyclable,1.29,0.43,0.63,64.38
2,2023-09-04 17:00:00,organic,0.77,0.85,0.17,86.07
1,2023-09-04 17:15:00,organic,0.91,0.23,0.48,7.23
4,2023-09-04 17:30:00,organic,1.05,0.27,0.11,44.58
1,2023-09-04 17:45:00,organic,0.76,0.52,0.21,91.9
2,2023-09-04 18:00:00,organic,0.71,0.43,0.39,30.06
3,2023-09-04 18:15:00,organic,1.12,0.0,0.1,91.93
1,2023-09-04 18:30:00,recyclable,1.12,0.02,0.79,96.32
2,2023-09-04 18:45:00,organic,0.83,0.95,0.89,42.62
3,2023-09-04 19:00:00,recyclable,1.04,0.67,0.11,52.29
2,2023-09-04 19:15:00,organic,0.94,0.46,0.74,37.55
3,2023-09-04 19:30:00,organic,1.36,0.39,0.55,66.06
3,2023-09-04 19:45:00,organic,0.69,0.97,0.25,86.71
2,2023-09-04 20:00:00,organic,1.08,0.96,0.55,68.14
2,2023-09-04 20:15:00,non_recyclable,1.36,0.93,0.55,7.87
3,2023-09-04 20:30:00,recyclable,0.99,0.54,0.12,63.13
2,2023-09-04 20:45:00,organic,0.82,0.3,0.75,90.3
2,2023-09-04 21:00:00,recyclable,1.28,0.97,0.34,38.19
1,2023-09-04 21:15:00,recyclable,0.76,0.93,0.4,96.51
4,2023-09-04 21:30:00,recyclable,0.72,0.58,0.24,96.56
4,2023-09-04 21:45:00,non_recyclable,1.12,0.41,0.32,64.57
3,2023-09-04 22:00:00,non_recyclable,0.65,0.38,0.91,40.02
2,2023-09-04 22:15:00,non_recyclable,1.34,0.42,0.9,9.17
3,2023-09-04 22:30:00,recyclable,1.28,0.19,0.36,43.16
2,2023-09-04 22:45:00,organic,1.22,0.45,0.4,14.37
2,2023-09-04 23:00:00,non_recyclable,1.22,0.4,0.84,31.36
2,2023-09-04 23:15:00,non_recyclable,1.03,0.08,0.44,50.25
4,2023-09-04 23:30:00,recyclable,1.21,0.89,0.5,60.93
3,2023-09-04 23:45:00,non_recyclable,1.23,0.49,0.43,67.87
2,2023-09-05 00:00:00,organic,0.92,0.76,0.15,61.91
3,2023-09-05 00:15:00,non_recyclable,1.05,0.74,0.5,21.59
1,2023-09-05 00:30:00,recyclable,0.64,0.74,0.38,9.23
2,2023-09-05 00:45:00,recyclable,0.76,0.73,0.44,76.9
3,2023-09-05 01:00:00,non_recyclable,0.95,0.87,0.91,20.24
4,2023-09-05 01:15:00,organic,1.28,0.08,0.4,77.52
3,2023-09-05 01:30:00,organic,0.71,0.08,0.88,22.64
4,2023-09-05 01:45:00,non_recyclable,1.35,0.27,0.89,1.1
2,2023-09-05 02:00:00,organic,0.77,0.56,0.67,38.71
1,2023-09-05 02:15:00,recyclable,1.24,0.86,0.22,66.87
1,2023-09-05 02:30:00,non_recyclable,0.84,0.36,0.45,77.36
3,2023-09-05 02:45:00,non_recyclable,1.39,0.65,0.49,32.97
2,2023-09-05 03:00:00,organic,1.38,0.47,0.71,11.89
1,2023-09-05 03:15:00,non_recyclable,0.67,0.08,0.28,99.0
1,2023-09-05 03:30:00,organic,0.68,0.85,0.77,96.58
4,2023-09-05 03:45:00,recyclable,1.35,0.89,0.5,26.08
3,2023-09-05 04:00:00,organic,0.62,0.71,0.45,68.26
4,2023-09-05 04:15:00,recyclable,1.12,0.54,0.53,92.23
2,2023-09-05 04:30:00,non_recyclable,1.38,0.06,0.07,52.63
1,2023-09-05 04:45:00,non_recyclable,0.68,1.0,0.35,18.22
2,2023-09-05 05:00:00,organic,0.83,0.95,0.42,57.33
4,2023-09-05 05:15:00,non_recyclable,0.91,0.31,0.21,43.01
2,2023-09-05 05:30:00,recyclable,0.7,0.32,0.86,52.28
3,2023-09-05 05:45:00,organic,1.17,0.06,0.64,52.94
1,2023-09-05 06:00:00,organic,1.2,0.32,0.63,81.13
2,2023-09-05 06:15:00,organic,1.36,0.01,0.01,15.43
1,2023-09-05 06:30:00,recyclable,0.95,0.04,0.0,37.2
4,2023-09-05 06:45:00,recyclable,0.61,0.64,0.73,91.48
2,2023-09-05 07:00:00,non_recyclable,0.84,0.83,0.13,69.8
4,2023-09-05 07:15:00,organic,0.75,0.08,0.38,28.2
1,2023-09-05 07:30:00,recyclable,0.75,0.18,0.36,35.92
2,2023-09-05 07:45:00,non_recyclable,1.09,0.1,0.62,92.68
4,2023-09-05 08:00:00,recyclable,1.28,0.68,0.97,91.11
4,2023-09-05 08:15:00,non_recyclable,1.28,0.1,0.2,62.26
1,2023-09-05 08:30:00,recyclable,1.07,0.48,0.34,47.48
4,2023-09-05 08:45:00,non_recyclable,1.35,0.46,0.89,6.68
2,2023-09-05 09:00:00,recyclable,1.27,0.94,0.27,39.54
2,2023-09-05 09:15:00,non_recyclable,1.3,0.62,0.17,59.29
2,2023-09-05 09:30:00,recyclable,0.82,0.13,0.22,8.38
4,2023-09-05 09:45:00,organic,1.11,0.58,0.29,58.34
2,2023-09-05 10:00:00,organic,0.89,0.96,0.87,86.22
1,2023-09-05 10:15:00,organic,0.66,0.1,0.36,85.83
1,2023-09-05 10:30:00,recyclable,0.84,0.45,0.99,50.22
3,2023-09-05 10:45:00,organic,0.7,0.1,0.3,77.54
4,2023-09-05 11:00:00,recyclable,0.79,0.31,0.31,5.16
2,2023-09-05 11:15:00,organic,0.85,0.05,0.8,28.85
4,2023-09-05 11:30:00,recyclable,1.14,0.98,0.46,5.4
1,2023-09-05 11:45:00,non_recyclable,0.68,0.25,0.41,14.68
1,2023-09-05 12:00:00,recyclable,0.93,0.91,0.46,92.72
1,2023-09-05 12:15:00,recyclable,1.11,0.94,0.47,80.91
2,2023-09-05 12:30:00,non_recyclable,0.76,0.3,0.25,49.67
